,RTL_STORE_CD,RTL_FIPS_COUNTY_DSC,RTL_PREMISE_TYPE_CD,RTL_CHANNEL_DSC,RTL_SUBCHANNEL_DSC,RTL_BEER_FLAG,RTL_LIQUOR_FLG,BEERTYPE
2298,105623601,DAVIS,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
2299,101733412,SALT LAKE,ON,DINING,CASUAL DINING,Y,N,LowPoint
2300,100391089,DUCHESNE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2301,101674080,SALT LAKE,ON,RECREATION,GOLF/COUNTRY CLUB,Y,N,LowPoint
2302,103518253,SALT LAKE,ON,DINING,FAST CASUAL,Y,Y,LowPoint
2303,100656543,DAVIS,OFF,CONVENIENCE STORE,GAS STATION/KIOSK,Y,N,LowPoint
2304,100699308,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2305,100328998,DAVIS,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2306,107279674,SALT LAKE,OFF,DRUG,CONVENTIONAL DRUG,Y,N,LowPoint
2307,100111977,SALT LAKE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2308,107279573,UTAH,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2309,107291586,UINTAH,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2310,205528180,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2311,102556776,SALT LAKE,OFF,DRUG,CONVENTIONAL DRUG,Y,N,LowPoint
2312,105618194,SALT LAKE,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
2313,105628368,BOX ELDER,ON,RECREATION,BILLIARD/BOWLING/ARCADE,Y,Y,LowPoint
2314,103744331,WEBER,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2315,101971023,WASHINGTON,ON,DINING,CASUAL DINING,Y,N,LowPoint
2316,101673749,SALT LAKE,ON,DINING,CASUAL DINING,Y,N,LowPoint
2317,100909650,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2318,101942540,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2319,103516768,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2320,105545093,SALT LAKE,ON,LODGING,FULL SERVICE LODGING,Y,Y,LowPoint
2321,101554448,IRON,OFF,GROCERY,SUPERCENTER,Y,N,LowPoint
