"RTL_STORE_CD","RTL_FIPS_COUNTY_DSC","RTL_PREMISE_TYPE_CD","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_BEER_FLAG","RTL_LIQUOR_FLG"
"101871665","JEFFERSON","ON","DINING","CASUAL DINING","Y","N"
"105206674","EL PASO","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"101950798","JEFFERSON","ON","DINING","CASUAL DINING","Y","Y"
"205206281","DENVER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105203158","LARIMER","ON","DINING","FINE DINING","Y","Y"
"103100899","EAGLE","ON","EXTENDED MASTER ON-PREMISE","SPECIAL EVENTS","N","N"
"101586788","ARAPAHOE","ON","DINING","FAST CASUAL","Y","Y"
"100110517","HUERFANO","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"107021089","EL PASO","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"103187362","PITKIN","ON","RECREATION","BILLIARD/BOWLING/ARCADE","Y","Y"
"105207199","EAGLE","ON","DINING","CASUAL DINING","Y","Y"
"101397339","ALAMOSA","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"107503512","BROOMFIELD","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"105543273","EL PASO","OFF","MILITARY OFF-PREMISE","MILITARY CONVENIENCE STORE","Y","Y"
"107044993","PUEBLO","ON","DINING","CASUAL DINING","Y","Y"
"103773214","LA PLATA","ON","DINING","CASUAL DINING","Y","Y"
"101712715","JEFFERSON","ON","DINING","FAST CASUAL","Y","N"
"103741425","DOUGLAS","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"105194283","JEFFERSON","ON","DINING","CASUAL DINING","Y","Y"
"100996687","LARIMER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"205207030","EL PASO","ON","BAR/NIGHTCLUB","SPORTS BAR","Y","Y"
"100109267","ARAPAHOE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"405202882","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"201694171","PROWERS","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100552779","EL PASO","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"102611560","PUEBLO","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100672260","DOUGLAS","OFF","GROCERY","SUPERCENTER","Y","N"
"105211808","DOUGLAS","ON","RECREATION","GOLF/COUNTRY CLUB","Y","Y"
"100696545","CHAFFEE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"102030628","GARFIELD","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105207267","GRAND","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"305205185","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"101765271","PUEBLO","ON","DINING","CASUAL DINING","Y","Y"
"205206238","EL PASO","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"100110630","MONTROSE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"101423494","GUNNISON","ON","DINING","CASUAL DINING","Y","Y"
"101968348","BOULDER","ON","DINING","CASUAL DINING","Y","Y"
"101581294","JEFFERSON","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100300993","ADAMS","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"105196669","DENVER","ON","DINING","FINE DINING","Y","Y"
"105192910","JEFFERSON","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105204765","HUERFANO","ON","DINING","FINE DINING","Y","Y"
"100792640","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"102207190","ARAPAHOE","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"101894972","DOUGLAS","ON","DINING","CASUAL DINING","Y","Y"
"101756605","ADAMS","ON","DINING","FAST CASUAL","Y","Y"
"200440853","DENVER","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101951424","DELTA","ON","DINING","CASUAL DINING","Y","N"
"101867692","EL PASO","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"100634192","ARAPAHOE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101423136","ARAPAHOE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105194110","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
"105212188","DENVER","ON","CATERER","FOOD SERVICE","Y","Y"
"102068965","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
"105202257","BOULDER","ON","DINING","CASUAL DINING","Y","Y"
"200792100","JEFFERSON","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100213962","SUMMIT","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"305204749","BENT","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"107521207","JEFFERSON","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"105212284","PROWERS","ON","RECREATION","PRIVATE CLUB","Y","Y"
"301985893","FREMONT","ON","DINING","CASUAL DINING","Y","Y"
"103676412","LARIMER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"107089451","KIT CARSON","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101942787","JEFFERSON","ON","DINING","CASUAL DINING","Y","Y"
"101929127","ARAPAHOE","ON","DINING","FAST CASUAL","Y","Y"
"101397606","GRAND","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"201826590","ADAMS","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"103623132","WELD","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100951257","ADAMS","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"107324666","DOUGLAS","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105196556","GARFIELD","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"205204439","OTERO","ON","DINING","FINE DINING","Y","Y"
"305206715","PUEBLO","ON","DINING","CASUAL DINING","Y","Y"
"100792768","ADAMS","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"107444374","SUMMIT","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"201695783","ARAPAHOE","ON","DINING","FAST CASUAL","Y","N"
"105206445","DENVER","ON","BAR/NIGHTCLUB","SPORTS BAR","Y","Y"
"102011391","PUEBLO","ON","DINING","FAST CASUAL","Y","N"
"105212288","MESA","ON","RECREATION","PRIVATE CLUB","Y","Y"
"105206259","MESA","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"103869666","GRAND","ON","DINING","CASUAL DINING","Y","N"
"100219051","WELD","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"107270362","JEFFERSON","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"201822066","DENVER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"102171234","EAGLE","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"101932567","LARIMER","ON","DINING","CASUAL DINING","Y","Y"
"100320187","DENVER","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"300413979","EL PASO","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101947104","JEFFERSON","ON","DINING","FINE DINING","Y","Y"
"102018658","LARIMER","ON","DINING","FAST CASUAL","Y","Y"
"100273124","JEFFERSON","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100793715","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101753829","EL PASO","ON","DINING","FINE DINING","Y","Y"
"301731042","DENVER","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"105193761","EL PASO","ON","LODGING","RESORT/CONVENTION","Y","Y"
"105214547","GILPIN","ON","RECREATION","CASINO/GAMBLING","Y","Y"
"105206326","CONEJOS","ON","DINING","CASUAL DINING","Y","Y"
"102225929","WELD","ON","DINING","CASUAL DINING","Y","Y"
"105206819","MESA","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"101963346","ARCHULETA","ON","DINING","CASUAL DINING","Y","Y"
"100713867","KIOWA","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"102477495","ARAPAHOE","ON","BAR/NIGHTCLUB","IRISH PUB","Y","Y"
"105206288","CROWLEY","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"100792551","ARAPAHOE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"205194138","MESA","ON","DINING","CASUAL DINING","Y","Y"
"202137120","JEFFERSON","ON","DINING","CASUAL DINING","Y","Y"
"101673765","COSTILLA","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105208022","CHAFFEE","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"104040922","DELTA","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"105211618","BROOMFIELD","ON","RECREATION","GOLF/COUNTRY CLUB","Y","Y"
"101865209","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"102610330","SUMMIT","ON","DINING","CASUAL DINING","Y","Y"
"101938812","DOUGLAS","ON","DINING","CASUAL DINING","Y","Y"
"105194603","CHEYENNE","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"101625730","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"203638333","ARAPAHOE","ON","DINING","CASUAL DINING","Y","Y"
"102068515","MONTROSE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100989895","BOULDER","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"101397274","JEFFERSON","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"102580973","COSTILLA","ON","DINING","CASUAL DINING","Y","Y"
"105208047","MORGAN","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105207066","PUEBLO","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"201623101","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"107015403","WELD","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105528525","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
"102090679","ADAMS","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101610615","LARIMER","ON","DINING","CASUAL DINING","Y","Y"
"105214998","ROUTT","ON","DINING","POLISHED CASUAL","Y","Y"
"100251491","ARAPAHOE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"105525093","MESA","ON","DINING","CASUAL DINING","Y","Y"
"100903706","LARIMER","ON","DINING","FAST CASUAL","Y","Y"
"103805926","DENVER","ON","LODGING","LUXURY LODGING","Y","Y"
"105194136","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
"100953743","ARAPAHOE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"201871012","MESA","ON","DINING","CASUAL DINING","Y","Y"
"100320948","DENVER","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"105206658","ARAPAHOE","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"202230103","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
"101467051","ARAPAHOE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105192888","GRAND","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"100187729","ARAPAHOE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"202914298","LARIMER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"107306918","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"202130823","JEFFERSON","ON","DINING","CASUAL DINING","Y","Y"
"105530688","BOULDER","ON","DINING","CASUAL DINING","Y","Y"
"101580329","DENVER","ON","LODGING","LUXURY LODGING","Y","Y"
"102588241","MOFFAT","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"103770423","LARIMER","ON","RECREATION","PRIVATE CLUB","Y","Y"
"105207103","PUEBLO","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"100397683","ARAPAHOE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"205201561","PITKIN","ON","DINING","CASUAL DINING","Y","N"
"101965861","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
"100898133","BOULDER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"107049239","CONEJOS","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100759625","DENVER","OFF","LIQUOR","WINE SPECIALTY STORE","Y","Y"
"100632648","JEFFERSON","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"305194321","DENVER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"102112437","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"101789371","ARAPAHOE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105211534","DOUGLAS","ON","RECREATION","GOLF/COUNTRY CLUB","Y","Y"
"100277586","GUNNISON","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101924653","JEFFERSON","ON","DINING","CASUAL DINING","Y","Y"
"100793678","JEFFERSON","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100792598","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"102142302","ARAPAHOE","ON","DINING","CASUAL DINING","Y","Y"
"102914527","EAGLE","ON","DINING","CASUAL DINING","Y","Y"
"101964534","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
"205212113","DENVER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105201176","GARFIELD","ON","DINING","FINE DINING","Y","Y"
"103976627","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"105196424","DENVER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"101921662","MESA","ON","DINING","CASUAL DINING","Y","Y"
"100792590","ARAPAHOE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105206624","EL PASO","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"100945252","DOUGLAS","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"200792653","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101839981","ADAMS","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100110449","PUEBLO","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"107286857","DENVER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105529755","ADAMS","ON","DINING","CASUAL DINING","Y","Y"
"101631130","PUEBLO","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100413837","JEFFERSON","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101937639","LAS ANIMAS","ON","DINING","FINE DINING","Y","Y"
"100793578","ARAPAHOE","OFF","LIQUOR","LIQUOR SUPER STORE","Y","Y"
"405542812","ADAMS","ON","BAR/NIGHTCLUB","SPORTS BAR","Y","Y"
"105528148","DENVER","ON","DINING","POLISHED CASUAL","Y","Y"
"102158361","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
"102909337","ARAPAHOE","ON","DINING","CASUAL DINING","Y","Y"
"101397639","WELD","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"103953538","ROUTT","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"205211003","JACKSON","ON","RECREATION","BILLIARD/BOWLING/ARCADE","Y","Y"
"201631122","PARK","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"205214928","GRAND","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105208127","WELD","ON","RECREATION","PRIVATE CLUB","Y","Y"
"100541861","DENVER","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"105194503","GRAND","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"103584645","SUMMIT","ON","DINING","FAST CASUAL","Y","N"
"202066529","ALAMOSA","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105194221","SAN MIGUEL","ON","RECREATION","PRIVATE CLUB","Y","Y"
"100924998","ARAPAHOE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101397558","EL PASO","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"203690641","DENVER","ON","BAR/NIGHTCLUB","SPORTS BAR","Y","Y"
"107531651","TELLER","ON","DINING","CASUAL DINING","Y","Y"
"107508853","WELD","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101397434","ARAPAHOE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101673757","EL PASO","ON","DINING","CASUAL DINING","Y","N"
"101611586","EL PASO","ON","RECREATION","PRIVATE CLUB","Y","Y"
"105210821","LOGAN","ON","DINING","FINE DINING","Y","Y"
"100792623","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105192232","ROUTT","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"105201853","JEFFERSON","ON","DINING","CASUAL DINING","Y","Y"
"102247422","ADAMS","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"103673156","EL PASO","OFF","MILITARY OFF-PREMISE","MILITARY CONVENIENCE STORE","Y","Y"
"301962482","JEFFERSON","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"103506925","ADAMS","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"101719634","BROOMFIELD","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"101673131","PHILLIPS","ON","RECREATION","GOLF/COUNTRY CLUB","Y","Y"
"107519275","JEFFERSON","ON","DINING","QUICK SERVICE RESTAURANT","Y","Y"
"101610588","TELLER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"100417871","MESA","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"107303885","EL PASO","ON","DINING","CASUAL DINING","Y","N"
"100110152","ADAMS","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"102957053","ARAPAHOE","ON","DINING","CASUAL DINING","Y","Y"
"107370216","TELLER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"101939546","JEFFERSON","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"102705559","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"405196649","ALAMOSA","ON","DINING","CASUAL DINING","Y","Y"
"201920549","FREMONT","ON","DINING","CASUAL DINING","Y","Y"
"101916615","EAGLE","ON","DINING","CASUAL DINING","Y","Y"
"101610871","BOULDER","ON","DINING","CASUAL DINING","Y","Y"
"105192341","MOFFAT","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"107504086","EL PASO","ON","BAR/NIGHTCLUB","SPORTS BAR","Y","Y"
"105204994","DENVER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"100898152","BOULDER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"205192776","ADAMS","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"107103200","EL PASO","OFF","LIQUOR","LIQUOR SUPER STORE","Y","Y"
"203775257","DOUGLAS","ON","DINING","CASUAL DINING","Y","N"
"102624420","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"100210632","EL PASO","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"102158360","ARAPAHOE","ON","DINING","CASUAL DINING","Y","Y"
"102003283","ARAPAHOE","ON","DINING","CASUAL DINING","Y","Y"
"100139718","MESA","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"100486227","ADAMS","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101921530","DOUGLAS","ON","BAR/NIGHTCLUB","SPORTS BAR","Y","Y"
"100634068","COSTILLA","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"107444444","ADAMS","ON","DINING","CASUAL DINING","Y","N"
"102031905","JEFFERSON","ON","BAR/NIGHTCLUB","SPORTS BAR","Y","Y"
"100301123","DENVER","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"105202045","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
"103527236","PITKIN","ON","DINING","FINE DINING","Y","Y"
"103881155","HUERFANO","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"105206428","JEFFERSON","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"205194402","LARIMER","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"205213424","DENVER","ON","CATERER","FOOD SERVICE","Y","Y"
"302289687","JEFFERSON","ON","DINING","CASUAL DINING","Y","Y"
"105194552","MESA","ON","DINING","CASUAL DINING","Y","Y"
"105206552","EL PASO","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"205202646","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"103527306","PITKIN","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"107020177","MONTEZUMA","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105206874","PUEBLO","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105213441","ADAMS","ON","DINING","CASUAL DINING","Y","Y"
"105207105","JEFFERSON","ON","DINING","CASUAL DINING","Y","Y"
"101397551","EL PASO","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105194714","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"105196144","LARIMER","ON","DINING","CASUAL DINING","Y","Y"
"100109172","ADAMS","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105194612","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
"107203677","DENVER","ON","DINING","FINE DINING","Y","Y"
"107507374","ARAPAHOE","ON","DINING","QUICK SERVICE RESTAURANT","Y","Y"
"205212434","LAKE","ON","RECREATION","PRIVATE CLUB","Y","Y"
"102196813","JEFFERSON","ON","RECREATION","THEATER","Y","Y"
"107181692","SUMMIT","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"100135220","DENVER","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101958927","SUMMIT","ON","DINING","CASUAL DINING","Y","Y"
"107206582","MESA","OFF","LIQUOR","LIQUOR SUPER STORE","Y","Y"
"105194470","JEFFERSON","ON","DINING","CASUAL DINING","Y","Y"
"107460282","PUEBLO","ON","DINING","CASUAL DINING","Y","N"
"105213367","EL PASO","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105196620","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"107401047","WELD","ON","LODGING","FULL SERVICE LODGING","Y","N"
"105208091","ADAMS","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
