"RTL_STORE_CD","BEERTYPE"
"105544381","NonLowPoint"
"105211579","NonLowPoint"
"100397689","NonLowPoint"
"107371395","NonLowPoint"
"102363476","NonLowPoint"
"101908512","NonLowPoint"
"105196547","NonLowPoint"
"101397248","NonLowPoint"
"100654995","NonLowPoint"
"101972121","NonLowPoint"
"105194733","NonLowPoint"
"201828322","NonLowPoint"
"102587062","NonLowPoint"
"101822735","NonLowPoint"
"107500862","NonLowPoint"
"100792967","NonLowPoint"
"205196434","NonLowPoint"
"105212323","NonLowPoint"
"301813855","NonLowPoint"
"105194059","NonLowPoint"
"105196320","NonLowPoint"
"100793605","NonLowPoint"
"201982634","NonLowPoint"
"107203832","NonLowPoint"
"103749452","NonLowPoint"
"101610239","NonLowPoint"
"105211202","NonLowPoint"
"201804772","NonLowPoint"
"100763234","NonLowPoint"
"301864519","NonLowPoint"
"205204971","NonLowPoint"
"105192300","NonLowPoint"
"105207293","NonLowPoint"
"105544415","NonLowPoint"
"102712887","NonLowPoint"
"107011319","NonLowPoint"
"107485779","NonLowPoint"
"105206365","NonLowPoint"
"100793702","NonLowPoint"
"101945534","NonLowPoint"
"107316509","NonLowPoint"
"101954843","NonLowPoint"
"103875307","NonLowPoint"
"201397642","NonLowPoint"
"101611286","NonLowPoint"
"100793747","NonLowPoint"
"101695780","NonLowPoint"
"101668841","NonLowPoint"
"205196500","NonLowPoint"
"101858260","NonLowPoint"
"205201588","NonLowPoint"
"103091078","NonLowPoint"
"205202646","NonLowPoint"
"201423847","NonLowPoint"
"102151033","NonLowPoint"
"101397420","NonLowPoint"
"105204846","NonLowPoint"
"105206249","NonLowPoint"
"101397430","NonLowPoint"
"100898187","NonLowPoint"
"105208034","NonLowPoint"
"105212379","NonLowPoint"
"100792834","NonLowPoint"
"107352331","NonLowPoint"
"105526199","NonLowPoint"
"100792783","NonLowPoint"
"105194409","NonLowPoint"
"100768174","NonLowPoint"
"105194244","NonLowPoint"
"305196802","NonLowPoint"
"105203973","NonLowPoint"
"102225940","NonLowPoint"
"202611573","NonLowPoint"
"107265248","NonLowPoint"
"203708817","NonLowPoint"
"100793683","NonLowPoint"
"102611551","NonLowPoint"
"105211514","NonLowPoint"
"101397542","NonLowPoint"
"105206703","NonLowPoint"
"107385023","NonLowPoint"
"102025584","NonLowPoint"
"101796214","NonLowPoint"
"101958431","NonLowPoint"
"103991133","NonLowPoint"
"107229787","NonLowPoint"
"102712606","NonLowPoint"
"101586788","NonLowPoint"
"200792625","NonLowPoint"
"105204854","NonLowPoint"
"107354505","NonLowPoint"
"105196746","NonLowPoint"
"202118545","NonLowPoint"
"105206768","NonLowPoint"
"105194283","NonLowPoint"
"105210736","NonLowPoint"
"100765073","NonLowPoint"
"101424378","NonLowPoint"
"105194203","NonLowPoint"
"107240506","NonLowPoint"
"105529919","NonLowPoint"
"103665362","NonLowPoint"
"205201120","NonLowPoint"
"102605503","NonLowPoint"
"101769569","NonLowPoint"
"101828338","NonLowPoint"
"105210758","NonLowPoint"
"102486361","NonLowPoint"
"302064553","NonLowPoint"
"101828009","NonLowPoint"
"102587642","NonLowPoint"
"100767597","NonLowPoint"
"101673372","NonLowPoint"
"105210958","NonLowPoint"
"203187492","NonLowPoint"
"101941559","NonLowPoint"
"107495496","NonLowPoint"
"102244286","NonLowPoint"
"107268765","NonLowPoint"
"105204987","NonLowPoint"
"101397644","NonLowPoint"
"101397241","NonLowPoint"
"105206422","NonLowPoint"
"101397546","NonLowPoint"
"103746553","NonLowPoint"
"101611554","NonLowPoint"
"107350329","NonLowPoint"
"101869442","NonLowPoint"
"103676412","NonLowPoint"
"105206520","NonLowPoint"
"402718426","NonLowPoint"
"100898180","NonLowPoint"
"205202889","NonLowPoint"
"102721595","NonLowPoint"
"105194612","NonLowPoint"
"205194702","NonLowPoint"
"103793348","NonLowPoint"
"101943458","NonLowPoint"
"105524760","NonLowPoint"
"101636230","NonLowPoint"
"105213146","NonLowPoint"
"105211802","NonLowPoint"
"100792736","NonLowPoint"
"101605085","NonLowPoint"
"103781156","NonLowPoint"
"102480908","NonLowPoint"
"103504923","NonLowPoint"
"105202255","NonLowPoint"
"105542869","NonLowPoint"
"202272055","NonLowPoint"
"103622656","NonLowPoint"
"105207059","NonLowPoint"
"301936139","NonLowPoint"
"105196623","NonLowPoint"
"107340930","NonLowPoint"
"105205005","NonLowPoint"
"107307438","NonLowPoint"
"105194246","NonLowPoint"
"102565977","NonLowPoint"
"105202806","NonLowPoint"
"105206397","NonLowPoint"
"101397506","NonLowPoint"
"102520383","NonLowPoint"
"105193801","NonLowPoint"
"103933849","NonLowPoint"
"105530688","NonLowPoint"
"203719589","NonLowPoint"
"105212405","NonLowPoint"
"101982199","NonLowPoint"
"100793632","NonLowPoint"
"102020666","NonLowPoint"
"105530332","NonLowPoint"
"101397339","NonLowPoint"
"100792743","NonLowPoint"
"105212185","NonLowPoint"
"105207074","NonLowPoint"
"102588354","NonLowPoint"
"101916615","NonLowPoint"
"100699335","NonLowPoint"
"102196804","NonLowPoint"
"105196304","NonLowPoint"
"101514607","NonLowPoint"
"107456406","NonLowPoint"
"201937559","NonLowPoint"
"100764829","NonLowPoint"
"103750354","NonLowPoint"
"105202702","NonLowPoint"
"101866147","NonLowPoint"
"205210824","NonLowPoint"
"107052713","NonLowPoint"
"101965710","NonLowPoint"
"102068047","NonLowPoint"
"105211605","NonLowPoint"
"105206742","NonLowPoint"
"205206924","NonLowPoint"
"105206635","NonLowPoint"
"105210757","NonLowPoint"
"107491912","NonLowPoint"
"102028366","NonLowPoint"
"101936334","NonLowPoint"
"105192746","NonLowPoint"
"107216933","NonLowPoint"
"101832413","NonLowPoint"
"402020813","NonLowPoint"
"103692153","NonLowPoint"
"105205014","NonLowPoint"
"105202692","NonLowPoint"
"205194138","NonLowPoint"
"105202691","NonLowPoint"
"205201980","NonLowPoint"
"100793722","NonLowPoint"
"102216842","NonLowPoint"
"100767972","NonLowPoint"
"105192813","NonLowPoint"
"105205310","NonLowPoint"
"105214998","NonLowPoint"
"102319530","NonLowPoint"
"101927543","NonLowPoint"
"101397650","NonLowPoint"
"105544709","NonLowPoint"
"105202926","NonLowPoint"
"105214501","NonLowPoint"
"105211781","NonLowPoint"
"102003620","NonLowPoint"
"105194270","NonLowPoint"
"105202824","NonLowPoint"
"105196568","NonLowPoint"
"205205562","NonLowPoint"
"102196813","NonLowPoint"
"107456201","NonLowPoint"
"103912260","NonLowPoint"
"105206769","NonLowPoint"
"100793441","NonLowPoint"
"105204546","NonLowPoint"
"305206258","NonLowPoint"
"107238367","NonLowPoint"
"101934581","NonLowPoint"
"103712279","NonLowPoint"
"202021557","NonLowPoint"
"105210817","NonLowPoint"
"105211227","NonLowPoint"
"102033522","NonLowPoint"
"107379709","NonLowPoint"
"101863332","NonLowPoint"
"105194472","NonLowPoint"
"100696511","NonLowPoint"
"101751086","NonLowPoint"
"201616942","NonLowPoint"
"107002136","NonLowPoint"
"101918111","NonLowPoint"
"101932567","NonLowPoint"
"101955041","NonLowPoint"
"105544962","NonLowPoint"
"201397485","NonLowPoint"
"107187915","NonLowPoint"
"205206234","NonLowPoint"
"103603312","NonLowPoint"
"105192321","NonLowPoint"
"107236594","NonLowPoint"
"207366349","NonLowPoint"
"105196702","NonLowPoint"
"105204429","NonLowPoint"
"101962637","NonLowPoint"
"102176639","NonLowPoint"
"101631126","NonLowPoint"
"101397303","NonLowPoint"
"105210971","NonLowPoint"
"101610989","NonLowPoint"
"105213156","NonLowPoint"
"205207193","NonLowPoint"
"305202085","NonLowPoint"
"105210803","NonLowPoint"
"203683452","NonLowPoint"
"102322515","NonLowPoint"
"107461063","NonLowPoint"
"100696534","NonLowPoint"
"105192287","NonLowPoint"
"105194064","NonLowPoint"
"101424098","NonLowPoint"
"205196151","NonLowPoint"
"101859395","NonLowPoint"
"101397247","NonLowPoint"
"105212435","NonLowPoint"
"102378848","NonLowPoint"
"105207003","NonLowPoint"
"105194504","NonLowPoint"
"100792825","NonLowPoint"
"103800856","NonLowPoint"
"107469483","NonLowPoint"
"100888099","NonLowPoint"
"302069652","NonLowPoint"
"105529942","NonLowPoint"
"105206741","NonLowPoint"
"205205235","NonLowPoint"
"107395014","NonLowPoint"
"301928873","NonLowPoint"
"103100899","NonLowPoint"
"101955211","NonLowPoint"
"104025175","NonLowPoint"
"102058110","NonLowPoint"
"101423622","NonLowPoint"
"105204949","NonLowPoint"
"203931943","NonLowPoint"
"107403924","NonLowPoint"
"107174516","NonLowPoint"
"103576033","NonLowPoint"
"201725695","NonLowPoint"
"101611179","NonLowPoint"
"305525978","NonLowPoint"
"101397634","NonLowPoint"
"107055216","NonLowPoint"
"101828333","NonLowPoint"
"102226118","NonLowPoint"
"100793478","NonLowPoint"
"101743017","NonLowPoint"
"105196446","NonLowPoint"
"405206342","NonLowPoint"
"200767846","NonLowPoint"
"100445729","NonLowPoint"
"105212419","NonLowPoint"
"107401047","NonLowPoint"
"101424381","NonLowPoint"
"107470045","NonLowPoint"
"305196683","NonLowPoint"
"101610878","NonLowPoint"
"105212361","NonLowPoint"
"105204821","NonLowPoint"
"101696028","NonLowPoint"
"102459981","NonLowPoint"
"100423179","NonLowPoint"
"100956640","NonLowPoint"
"101841030","NonLowPoint"
"100766070","NonLowPoint"
"105201863","NonLowPoint"
"107502345","NonLowPoint"
"101583900","NonLowPoint"
"105192914","NonLowPoint"
"201741833","NonLowPoint"
"100792172","NonLowPoint"
"101871027","NonLowPoint"
"205206836","NonLowPoint"
"203730698","NonLowPoint"
"102914527","NonLowPoint"
"101944024","NonLowPoint"
"102006772","NonLowPoint"
"301424011","NonLowPoint"
"101942797","NonLowPoint"
"102614025","NonLowPoint"
"405206396","NonLowPoint"
"101611201","NonLowPoint"
"102063973","NonLowPoint"
"202020604","NonLowPoint"
"105205267","NonLowPoint"
"205206627","NonLowPoint"
"105211220","NonLowPoint"
"101397384","NonLowPoint"
"105207036","NonLowPoint"
"101765343","NonLowPoint"
"103348568","NonLowPoint"
"305202793","NonLowPoint"
"105211522","NonLowPoint"
"107530402","NonLowPoint"
"105196705","NonLowPoint"
"105214460","NonLowPoint"
"103986747","NonLowPoint"
"105207994","NonLowPoint"
"107019548","NonLowPoint"
"205528171","NonLowPoint"
"100765885","NonLowPoint"
"102273168","NonLowPoint"
"107333138","NonLowPoint"
"107283795","NonLowPoint"
"201864072","NonLowPoint"
"105204757","NonLowPoint"
"203893345","NonLowPoint"
"105194236","NonLowPoint"
"101921781","NonLowPoint"
"107378636","NonLowPoint"
"101936119","NonLowPoint"
"205207134","NonLowPoint"
"200890936","NonLowPoint"
"207240422","NonLowPoint"
"105192260","NonLowPoint"
"205206632","NonLowPoint"
"101424159","NonLowPoint"
"205205565","NonLowPoint"
"105202923","NonLowPoint"
"105192768","NonLowPoint"
"107460653","NonLowPoint"
"101586710","NonLowPoint"
"100792788","NonLowPoint"
"102158383","NonLowPoint"
"101882027","NonLowPoint"
"105207970","NonLowPoint"
"101831943","NonLowPoint"
"103694492","NonLowPoint"
"205192787","NonLowPoint"
"105526604","NonLowPoint"
"105194548","NonLowPoint"
"107472136","NonLowPoint"
"201397230","NonLowPoint"
"102256848","NonLowPoint"
"105202076","NonLowPoint"
"105206428","NonLowPoint"
"105196237","NonLowPoint"
"205205231","NonLowPoint"
"105530652","NonLowPoint"
"101761277","NonLowPoint"
"101954703","NonLowPoint"
"101935983","NonLowPoint"
"102248640","NonLowPoint"
"105528966","NonLowPoint"
"101397586","NonLowPoint"
"105204103","NonLowPoint"
"205207174","NonLowPoint"
"205213554","NonLowPoint"
"205205275","NonLowPoint"
"100793336","NonLowPoint"
"100768330","NonLowPoint"
"205202693","NonLowPoint"
"205207049","NonLowPoint"
"107015461","NonLowPoint"
"200763915","NonLowPoint"
"101586700","NonLowPoint"
"305202030","NonLowPoint"
"100792236","NonLowPoint"
"101423800","NonLowPoint"
"105196801","NonLowPoint"
"103594403","NonLowPoint"
"103531286","NonLowPoint"
"101687133","NonLowPoint"
"101587706","NonLowPoint"
"103735621","NonLowPoint"
"105204138","NonLowPoint"
"101533926","NonLowPoint"
